"MONTO"	"CLASE"	"MARCA"	"MODELO"	"CLASEPOLIZA"	"ZONA"	"SEXO"	"EDAD"	"VALOR"
5.161617	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V3"
1.069655	"AU"	"KO"	"M6"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V2"
3.596806	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V4"
1.342855	"AU"	"RE"	"M3"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E2"	"V3"
1.771515	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E5"	"V3"
6.770263	"AU"	"MZ"	"M5"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E3"	"V3"
2.268141	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E6"	"V2"
0.612919	"PD"	"JA"	"M5"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V4"
10.934328	"AU"	"RE"	"M2"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E5"	"V3"
2.044035	"AU"	"US"	"M7"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E1"	"V2"
2.875235	"AU"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V4"
3.240111	"AU"	"US"	"M7"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V2"
1.644597	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E3"	"V3"
0.624404	"AU"	"EU"	"M1"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V5"
0.105348	"AU"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E5"	"V4"
1.243755	"CM"	"MZ"	"M1"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V7"
3.2846	"AU"	"MZ"	"M5"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E5"	"V3"
1.729893	"PD"	"MZ"	"M1"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E5"	"V5"
2.479005	"AU"	"RE"	"M8"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V1"
7.30969	"AU"	"US"	"M5"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V3"
7.862658	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E6"	"V4"
5.35474	"AU"	"RE"	"M6"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V2"
0.2625	"CM"	"JA"	"M4"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V6"
1.51663	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V2"
1.303094	"CM"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V2"
5.272384	"AU"	"KO"	"M6"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V2"
1.459815	"AU"	"RE"	"M6"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V3"
1.530005	"AU"	"LU"	"M4"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V6"
7.024532	"AU"	"US"	"M6"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V3"
2.223728	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V2"
4.533465	"AU"	"RE"	"M2"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E4"	"V3"
4.292408	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V2"
1.416811	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E5"	"V2"
1.419167	"AU"	"KO"	"M1"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E4"	"V3"
0.686853	"AU"	"RE"	"M1"	"POLIZA INDIVIDUAL"	"CF"	"M"	"E1"	"V3"
3.054179	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V5"
9.717791	"AU"	"RE"	"M3"	"POLIZA COLECTIVA"	"BG"	"M"	"E4"	"V3"
6.768745	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E3"	"V4"
17.669383	"AU"	"EU"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V5"
2.579969	"AU"	"RE"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
6.46852	"AU"	"EU"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V2"
1.732783	"AU"	"EU"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
7.521124	"AU"	"MZ"	"M7"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V2"
2.087038	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
11.659458	"AU"	"US"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E5"	"V3"
1.102296	"AU"	"RE"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V4"
26.648566	"CM"	"KO"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V5"
1.153887	"AU"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V5"
1.945281	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
3.123435	"AU"	"KO"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V3"
0.975739	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
2.221869	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E2"	"V3"
2.092707	"AU"	"RE"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E5"	"V3"
6.873572	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
4.915325	"AU"	"RE"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
8.009174	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V2"
1.331084	"PD"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V3"
0.483755	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
1.91725	"AU"	"JA"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
1.586953	"AU"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V2"
